L1,L2,L3,L4
0.547238928,0.415898394,0.332582641,0.669069025
0.573148149,0.433510044,0.325623704,0.681573229
0.587461379,0.40345208,0.317040042,0.708076129
0.597237366,0.408815865,0.303615443,0.702850185
0.594142887,0.42351242,0.30600215,0.669629196
0.588771824,0.414799407,0.281669392,0.632155294
0.586450747,0.426617551,0.263677529,0.600846031
0.585187323,0.441865048,0.235512797,0.619147527
0.586125294,0.440396468,0.227508965,0.646095277
0.618702228,0.44937716,0.171531455,0.694724096
0.746994621,0.493450139,0.163413685,0.78696554
0.731409805,0.527037025,0.160363969,0.853894803
0.680380909,0.484371119,0.162310578,0.778900271
0.596859476,0.401661485,0.220659829,0.427206431
0.520259633,0.343008621,0.239690656,0.372218205
0.479338425,0.319108377,0.246350538,0.347062243
0.452633411,0.308970914,0.242825067,0.347593745
0.442259857,0.306072645,0.221680241,0.368118272
0.444314055,0.310699726,0.234327754,0.400677696
0.46764482,0.309515374,0.259276484,0.431870422
0.460214936,0.328870316,0.268442461,0.48003941
0.5107342,0.39238112,0.313638372,0.51751971
0.571138334,0.41661248,0.292387745,0.543003741
0.630001295,0.443733698,0.29699308,0.542681665
0.673400852,0.464532811,0.293376017,0.539599953
0.696411039,0.444545561,0.289950207,0.527458804
0.725702165,0.468834016,0.275382844,0.528237958
0.735614191,0.467815981,0.318380129,0.52753582
0.752466405,0.480929631,0.329068619,0.543619711
0.758648177,0.483239586,0.322081818,0.573991252
0.752013905,0.47323024,0.289545974,0.587596039
0.723990032,0.468606606,0.278647539,0.572500485
0.694357816,0.469224295,0.246624349,0.553878776
0.71076208,0.466834629,0.22958048,0.548112339
0.816619644,0.519095744,0.204579402,0.565163026
0.782146797,0.538447652,0.202859221,0.599937626
0.713688271,0.488284528,0.196120299,0.52343362
0.622210168,0.392477793,0.2315893,0.658512989
0.543032267,0.348454599,0.224402556,0.584756471
0.499221017,0.322418301,0.227628835,0.564439346
0.468030547,0.310133477,0.229351361,0.538718273
0.463980545,0.302380302,0.235793574,0.538649759
