"item","Demanda","Valor","addValue"
"2017-01-24 19","49412.927","1.684765",""
"2017-01-24 20","46028.707","1.569378",""
"2017-01-24 21","45140.712","1.539101",""
"2017-01-24 22","45746.817","1.559766",""
"2017-01-24 23","43709.684","1.490309",""
"2017-01-24 24","41323.048","1.408935",""
"2017-01-25 01","38182.792","1.236543",""
"2017-01-25 02","35187.105","1.139529",""
"2017-01-25 03","32777.359","1.055069",""
"2017-01-25 04","31469.676","1.002703",""
"2017-01-25 05","30854.3","0.983095",""
"2017-01-25 06","31349.634","1.011159",""
"2017-01-25 07","32978.788","1.068012",""
"2017-01-25 08","35409.866","1.146743",""
"2017-01-25 09","43240.615","1.55562",""
"2017-01-25 10","48716.561","1.752621",""
"2017-01-25 11","52871.569","1.902102",""
"2017-01-25 12","55504.191","1.996812",""
"2017-01-25 13","56310.639","2.025825",""
"2017-01-25 14","56939.043","2.048433",""
"2017-01-25 15","59776.11","2.150499",""
"2017-01-25 16","60370.551","2.171884",""
"2017-01-25 17","59038.58","2.123965",""
"2017-01-25 18","54262.877","1.952155",""
"2017-01-25 19","50270.75","4.854489",""
"2017-01-25 20","47503.475","3.424163",""
"2017-01-25 21","46103.593","3.940346",""
"2017-01-25 22","47068.472","4.966282",""
"2017-01-25 23","45028.493","3.96312",""
"2017-01-25 24","42733.529","2.603217",""
"2017-01-26 01","39843.268","1.899056",""
"2017-01-26 02","36770.882","1.606165",""
"2017-01-26 03","33869.924","1.11014",""
"2017-01-26 04","31982.145","1.016942",""
"2017-01-26 05","31604.114","1.002859",""
"2017-01-26 06","31891.591","1.011981",""
"2017-01-26 07","34147.489","1.041203",""
"2017-01-26 08","36445.142","1.137437",""
"2017-01-26 09","44713.732","1.5911",""
"2017-01-26 10","52049.112","1.865717",""
"2017-01-26 11","55200.214","1.978669",""
"2017-01-26 12","57075.073","2.66448",""
"2017-01-26 13","56860.449","2.762125",""
"2017-01-26 14","56697.039","2.754186",""
"2017-01-26 15","58478.553","6.021272",""
"2017-01-26 16","59511.855","6.698857",""
"2017-01-26 17","58744.729","6.612507",""
"2017-01-26 18","54734.807","6.161137",""
"2017-01-26 19","49847.784","5.0968",""
"2017-01-26 20","47585.19","2.616037",""
"2017-01-26 21","46376.203","3.143059",""
"2017-01-26 22","46871.668","3.176638",""
"2017-01-26 23","45395.907","3.067729",""
"2017-01-26 24","42428.095","3.282705",""
"2017-01-27 01","39640.113","1.873438",""
"2017-01-27 02","36428.692","1.709805",""
"2017-01-27 03","33756.017","1.296495",""
"2017-01-27 04","31904.37","1.067532",""
"2017-01-27 05","31915.935","1.067919",""
"2017-01-27 06","32221.072","1.078129",""
"2017-01-27 07","33633.587","1.517309",""
"2017-01-27 08","35946.606","1.698878",""
"2017-01-27 09","43853.994","2.663535",""
