"item","Demanda","Valor","addValue"
"2017-01-14 18","73102.176","2.582765",""
"2017-01-14 19","71437.558","2.543146",""
"2017-01-14 20","70122.526","2.496332",""
"2017-01-14 21","69954.222","2.49034",""
"2017-01-14 22","77814.138","2.77015",""
"2017-01-14 23","75702.25","2.694968",""
"2017-01-14 24","70016.441","2.492555",""
"2017-01-15 01","63625.158","2.142045",""
"2017-01-15 02","56873.754","1.588114",""
"2017-01-15 03","51403.936","1.031572",""
"2017-01-15 04","48001.672","0.963295",""
"2017-01-15 05","46515.594","0.933472",""
"2017-01-15 06","45931.084","0.921743",""
"2017-01-15 07","44361.956","0.890254",""
"2017-01-15 08","39649.096","0.259118",""
"2017-01-15 09","43453.765","0.699918",""
"2017-01-15 10","49845.252","1.59257",""
"2017-01-15 11","57662.545","1.853755",""
"2017-01-15 12","62762.571","2.063287",""
"2017-01-15 13","66647.121","2.190989",""
"2017-01-15 14","70602.094","2.321007",""
"2017-01-15 15","71595.781","2.339495",""
"2017-01-15 16","70218.602","2.257411",""
"2017-01-15 17","69221.992","2.225372",""
"2017-01-15 18","68574.32","2.20455",""
"2017-01-15 19","67767.851","2.223358",""
"2017-01-15 20","67982.529","2.185525",""
"2017-01-15 21","69471.652","2.274673",""
"2017-01-15 22","77744.856","2.874016",""
"2017-01-15 23","77622.758","2.869502",""
"2017-01-15 24","71308.442","2.636079",""
"2017-01-16 01","62042.634","2.068288",""
"2017-01-16 02","53381.791","1.437748",""
"2017-01-16 03","47767.784","1.201406",""
"2017-01-16 04","44995.65","1.131683",""
"2017-01-16 05","43638.566","1.103313",""
"2017-01-16 06","43880.158","1.303497",""
"2017-01-16 07","46304.943","1.479456",""
"2017-01-16 08","49679.141","1.731559",""
"2017-01-16 09","56512.196","2.126407",""
"2017-01-16 10","62867.228","2.365531",""
"2017-01-16 11","69822.088","2.627225",""
"2017-01-16 12","74859.753","2.816779",""
"2017-01-16 13","79303.918","2.984001",""
"2017-01-16 14","82629.016","3.109116",""
"2017-01-16 15","83522.634","3.14274",""
"2017-01-16 16","83424.91","3.139063",""
"2017-01-16 17","82881.484","3.118615",""
"2017-01-16 18","81705.639","3.074372",""
"2017-01-16 19","78628.805","2.963789",""
"2017-01-16 20","77325.57","2.914665",""
"2017-01-16 21","77516.896","2.921877",""
"2017-01-16 22","85925.774","3.238836",""
"2017-01-16 23","83560.331","3.149675",""
"2017-01-16 24","74842.314","2.821063",""
"2017-01-17 01","65251.372","2.317401",""
"2017-01-17 02","56342.415","2.001",""
"2017-01-17 03","50285.75","1.765982",""
"2017-01-17 04","47324.456","1.555767",""
"2017-01-17 05","46124.621","1.638116",""
"2017-01-17 06","46123.534","1.638077",""
"2017-01-17 07","48423.908","1.719774",""
"2017-01-17 08","51416.402","1.826053",""
"2017-01-17 09","58419.287","2.178884",""
"2017-01-17 10","64779.883","2.416118",""
"2017-01-17 11","71577.522","2.669652",""
"2017-01-17 12","76356.726","2.847903",""
"2017-01-17 13","80848.929","3.015451",""
"2017-01-17 14","83651.13","3.119966",""
"2017-01-17 15","84524.829","3.152553",""
"2017-01-17 16","84178.56","3.139637",""
"2017-01-17 17","84129.551","3.13781",""
"2017-01-17 18","82941.306","3.093491",""
"2017-01-17 19","80593.857","3.005937",""
"2017-01-17 20","79196.825","2.953831",""
"2017-01-17 21","80010.752","2.984189",""
"2017-01-17 22","88895.797","3.315577",""
"2017-01-17 23","86462.257","3.224813",""
"2017-01-17 24","78659.095","2.928583",""
"2017-01-18 01","68625.241","2.346621",""
"2017-01-18 02","58774.991","1.726562",""
"2017-01-18 03","52463.492","1.444185",""
"2017-01-18 04","49104.483","1.283648",""
"2017-01-18 05","47588.29","1.218881",""
"2017-01-18 06","47321.518","1.16519",""
"2017-01-18 07","49864.928","1.36607",""
"2017-01-18 08","52716.985","1.604283",""
"2017-01-18 09","59247.723","1.986849",""
"2017-01-18 10","66761.448","2.445953",""
"2017-01-18 11","72877.873","2.71334",""
"2017-01-18 12","77982.867","2.903406",""
"2017-01-18 13","82096.829","3.056574",""
"2017-01-18 14","85510.441","3.183668",""
"2017-01-18 15","86453.322","3.218772",""
"2017-01-18 16","86694.958","3.227769",""
"2017-01-18 17","85902.248","3.198255",""
"2017-01-18 18","84333.001","3.13983",""
