"item","Demanda","Valor","addValue"
"2017-01-24 20","94930.284","3.192885",""
"2017-01-24 21","82348.15","2.769697",""
"2017-01-24 22","76506.59","2.573222",""
"2017-01-24 23","69811.407","2.348037",""
"2017-01-24 24","64479.454","2.168701",""
"2017-01-25 01","59191.247","1.89371",""
"2017-01-25 02","55069.794","1.761852",""
"2017-01-25 03","52352.023","1.664648",""
"2017-01-25 04","51142.452","1.60949",""
"2017-01-25 05","50225.546","1.580635",""
"2017-01-25 06","50622.852","1.612971",""
"2017-01-25 07","54555.834","1.745409",""
"2017-01-25 08","67907.21","2.172561",""
"2017-01-25 09","88617.589","3.159166",""
"2017-01-25 10","103958.337","3.706056",""
"2017-01-25 11","113707.238","4.053599",""
"2017-01-25 12","118738.25","4.232951",""
"2017-01-25 13","122901.079","4.381353",""
"2017-01-25 14","125700.036","4.481135",""
"2017-01-25 15","127064.711","4.529785",""
"2017-01-25 16","128707.486","4.588348",""
"2017-01-25 17","127757.671","4.554488",""
"2017-01-25 18","124478.518","4.437588",""
"2017-01-25 19","113716.097","10.832713",""
"2017-01-25 20","99267.848","7.064722",""
"2017-01-25 21","85618.006","7.216911",""
"2017-01-25 22","78677.273","8.188373",""
"2017-01-25 23","71908.608","6.244425",""
"2017-01-25 24","66463.693","3.992384",""
"2017-01-26 01","61719.906","2.905497",""
"2017-01-26 02","57391.251","2.476892",""
"2017-01-26 03","54463.451","1.76379",""
"2017-01-26 04","52833.215","1.659251",""
"2017-01-26 05","51952.409","1.628197",""
"2017-01-26 06","52188.85","1.635607",""
"2017-01-26 07","56346.309","1.696002",""
"2017-01-26 08","70262.883","2.165349",""
"2017-01-26 09","92506.572","3.261567",""
"2017-01-26 10","109107.671","3.875379",""
"2017-01-26 11","118136.079","4.196058",""
"2017-01-26 12","122521.18","5.671754",""
"2017-01-26 13","124693.007","6.008395",""
"2017-01-26 14","126355.718","6.088513",""
"2017-01-26 15","124740.085","12.721754",""
"2017-01-26 16","124548.404","13.889481",""
"2017-01-26 17","125256.432","13.96844",""
"2017-01-26 18","121441.7","13.543025",""
"2017-01-26 19","110231.613","11.119739",""
"2017-01-26 20","95636.061","5.188988",""
"2017-01-26 21","84026.606","5.617936",""
"2017-01-26 22","77953.743","5.21191",""
"2017-01-26 23","70823.993","4.721349",""
"2017-01-26 24","65430.822","4.994096",""
"2017-01-27 01","59921.382","2.796847",""
"2017-01-27 02","56078.025","2.602855",""
"2017-01-27 03","54056.084","2.055063",""
"2017-01-27 04","52349.099","1.731173",""
"2017-01-27 05","51467.263","1.702011",""
"2017-01-27 06","51715.637","1.710225",""
"2017-01-27 07","55628.163","2.480578",""
"2017-01-27 08","69057.254","3.223266",""
"2017-01-27 09","90662.247","5.453385",""
