"item","Demanda","Valor","addValue"
"2017-01-15 21","46938.98","1.521404",""
"2017-01-15 22","47201.103","1.726201",""
"2017-01-15 23","45313.961","1.657186",""
"2017-01-15 24","42447.224","1.552346",""
"2017-01-16 01","38661.931","1.2812",""
"2017-01-16 02","36326.829","0.973605",""
"2017-01-16 03","34306.356","0.858308",""
"2017-01-16 04","33707.27","0.84332",""
"2017-01-16 05","33268.046","0.834527",""
"2017-01-16 06","33656.594","0.993132",""
"2017-01-16 07","37544.91","1.192136",""
"2017-01-16 08","48708.174","1.688071",""
"2017-01-16 09","62333.181","2.333092",""
"2017-01-16 10","72469.828","2.7125",""
"2017-01-16 11","80145.656","2.999801",""
"2017-01-16 12","84721.827","3.171084",""
"2017-01-16 13","86921.383","3.253413",""
"2017-01-16 14","88067.315","3.296304",""
"2017-01-16 15","88436.129","3.310108",""
"2017-01-16 16","88010.152","3.294165",""
"2017-01-16 17","87793.827","3.286067",""
"2017-01-16 18","85264.963","3.191414",""
"2017-01-16 19","77965.371","2.902754",""
"2017-01-16 20","67282.047","2.505",""
"2017-01-16 21","59597.548","2.218896",""
"2017-01-16 22","56529.031","2.104651",""
"2017-01-16 23","51018.461","1.899485",""
"2017-01-16 24","45606.394","1.697987",""
"2017-01-17 01","41287.093","1.458135",""
"2017-01-17 02","38150.102","1.347346",""
"2017-01-17 03","36374.423","1.270226",""
"2017-01-17 04","35648.565","1.162515",""
"2017-01-17 05","34895.12","1.23239",""
"2017-01-17 06","34875.712","1.231705",""
"2017-01-17 07","39203.446","1.384546",""
"2017-01-17 08","50395.545","1.779818",""
"2017-01-17 09","64396.82","2.384827",""
"2017-01-17 10","73375.197","2.717325",""
"2017-01-17 11","81249.556","3.008939",""
"2017-01-17 12","84919.786","3.144859",""
"2017-01-17 13","87546.745","3.242144",""
"2017-01-17 14","88510.187","3.277823",""
"2017-01-17 15","88370.544","3.272652",""
"2017-01-17 16","88276.173","3.269157",""
"2017-01-17 17","88699.899","3.284849",""
"2017-01-17 18","87142.433","3.227171",""
"2017-01-17 19","80025.75","2.942486",""
"2017-01-17 20","69836.494","2.567835",""
"2017-01-17 21","61721.778","2.269463",""
"2017-01-17 22","58285.075","2.143098",""
"2017-01-17 23","52230.761","1.920485",""
"2017-01-17 24","47603.95","1.747218",""
"2017-01-18 01","42456.336","1.443376",""
"2017-01-18 02","39397.367","1.149526",""
"2017-01-18 03","37546.09","1.026111",""
"2017-01-18 04","35986.079","0.935967",""
"2017-01-18 05","35195.116","0.896808",""
"2017-01-18 06","35132.914","0.858115",""
"2017-01-18 07","39650.162","1.080997",""
"2017-01-18 08","50963.242","1.54082",""
"2017-01-18 09","64335.011","2.144709",""
"2017-01-18 10","73667.137","2.679506",""
"2017-01-18 11","82050.696","3.033191",""
"2017-01-18 12","86058.55","3.181351",""
"2017-01-18 13","88784.379","3.282117",""
"2017-01-18 14","89801.556","3.319719",""
"2017-01-18 15","90684.269","3.352351",""
"2017-01-18 16","90618.112","3.349905",""
"2017-01-18 17","90534.049","3.346798",""
"2017-01-18 18","88177.378","3.259678",""
