"item","Demanda","Valor","addValue"
"2017-01-12 11","67171.674","2.554052",""
"2017-01-12 12","71350.516","2.808807",""
"2017-01-12 13","73632.75","3.764287",""
"2017-01-12 14","74546.242","3.810987",""
"2017-01-12 15","74488.115","3.808016",""
"2017-01-12 16","75502.677","3.859882",""
"2017-01-12 17","75767.526","3.873422",""
"2017-01-12 18","73590.665","3.762136",""
"2017-01-12 19","67336.281","3.424303",""
"2017-01-12 20","60090.352","3.055819",""
"2017-01-12 21","53506.556","2.721009",""
"2017-01-12 22","49867.61","2.535955",""
"2017-01-12 23","45923.782","2.335397",""
"2017-01-12 24","42433.114","2.089469",""
"2017-01-13 01","39531.498","1.338267",""
"2017-01-13 02","36877.487","1.248421",""
"2017-01-13 03","35220.702","1.192333",""
"2017-01-13 04","34221.793","1.158517",""
"2017-01-13 05","33890.947","1.147316",""
"2017-01-13 06","33864.005","1.146405",""
"2017-01-13 07","35895.087","1.215163",""
"2017-01-13 08","43367.652","1.468133",""
"2017-01-13 09","54710.592","1.932974",""
"2017-01-13 10","64226.164","2.269167",""
"2017-01-13 11","70212.257","2.480661",""
"2017-01-13 12","73345.527","2.591363",""
"2017-01-13 13","76034.927","2.686382",""
"2017-01-13 14","76726.682","2.710822",""
"2017-01-13 15","76146.744","2.690332",""
"2017-01-13 16","76875.576","2.716082",""
"2017-01-13 17","75702.767","2.674646",""
"2017-01-13 18","72525.706","2.562398",""
"2017-01-13 19","66495.725","2.340421",""
"2017-01-13 20","59234.177","2.084839",""
"2017-01-13 21","53146.753","1.870583",""
"2017-01-13 22","48445.191","1.705104",""
"2017-01-13 23","44658.3","1.571819",""
"2017-01-13 24","41809.336","1.471545",""
"2017-01-14 01","39332.404","1.323601",""
"2017-01-14 02","37106.231","1.243702",""
"2017-01-14 03","35427.04","1.108893",""
"2017-01-14 04","34414.905","0.961631",""
"2017-01-14 05","33738.828","0.94274",""
"2017-01-14 06","33298.542","0.930438",""
"2017-01-14 07","33667.215","0.94074",""
"2017-01-14 08","35261.838","1.117934",""
"2017-01-14 09","39448.266","1.369895",""
"2017-01-14 10","45077.818","1.565389",""
"2017-01-14 11","50929.579","1.768599",""
"2017-01-14 12","55209.648","1.917231",""
"2017-01-14 13","56018.56","1.945321",""
"2017-01-14 14","55884.985","1.940683",""
"2017-01-14 15","54542.995","1.89408",""
"2017-01-14 16","52215.925","1.813269",""
"2017-01-14 17","50413.957","1.750694",""
"2017-01-14 18","48010.48","1.667229",""
"2017-01-14 19","45446.284","1.578185",""
"2017-01-14 20","44603.897","1.548931",""
"2017-01-14 21","42638.008","1.480664",""
"2017-01-14 22","41336.096","1.435452",""
"2017-01-14 23","38987.636","1.353899",""
"2017-01-14 24","37175.441","1.290968",""
"2017-01-15 01","35233.961","1.169928",""
"2017-01-15 02","33376.056","0.918757",""
"2017-01-15 03","32056.296","0.632724",""
"2017-01-15 04","31235.423","0.616522",""
"2017-01-15 05","30906.162","0.610022",""
"2017-01-15 06","30661.691","0.605197",""
"2017-01-15 07","30383.138","0.599699",""
"2017-01-15 08","29985.965","0.192008",""
"2017-01-15 09","31971.314","0.506525",""
"2017-01-15 10","35206.531","1.103942",""
"2017-01-15 11","38390.254","1.213909",""
"2017-01-15 12","40786.163","1.316592",""
"2017-01-15 13","42327.307","1.369134",""
"2017-01-15 14","43315.066","1.401085",""
"2017-01-15 15","43591.418","1.401391",""
"2017-01-15 16","43223.699","1.366743",""
"2017-01-15 17","42501.753","1.343915",""
"2017-01-15 18","41758.638","1.320418",""
"2017-01-15 19","40979.404","1.309303",""
"2017-01-15 20","40399.836","1.266784",""
"2017-01-15 21","39503.044","1.262134",""
"2017-01-15 22","39897.301","1.438023",""
"2017-01-15 23","39229.57","1.413955",""
"2017-01-15 24","37611.746","1.355643",""
"2017-01-16 01","35285.389","1.159988",""
"2017-01-16 02","33015.967","0.876153",""
"2017-01-16 03","31472.724","0.779104",""
"2017-01-16 04","30698.646","0.759941",""
"2017-01-16 05","30040.778","0.747622",""
"2017-01-16 06","30280.114","0.885504",""
"2017-01-16 07","32602.548","1.026595",""
"2017-01-16 08","40244.503","1.381464",""
"2017-01-16 09","51069.506","1.884529",""
"2017-01-16 10","59869.053","2.209244",""
"2017-01-16 11","65734.117","2.425672",""
"2017-01-16 12","69398.301","2.560885",""
"2017-01-16 13","71855.043","2.651542",""
"2017-01-16 14","73215.607","2.701749",""
"2017-01-16 15","73554.418","2.714251",""
"2017-01-16 16","73836.329","2.724654",""
"2017-01-16 17","73965.423","2.729418",""
"2017-01-16 18","71988.872","2.656481",""
"2017-01-16 19","65577.649","2.41124",""
"2017-01-16 20","57637.473","2.119286",""
"2017-01-16 21","52082.615","1.915039",""
"2017-01-16 22","48836.592","1.795685",""
"2017-01-16 23","44770.634","1.646182",""
"2017-01-16 24","41485.552","1.525392",""
"2017-01-17 01","38364.289","1.34478",""
"2017-01-17 02","35636.885","1.249176",""
"2017-01-17 03","33962.158","1.177021",""
"2017-01-17 04","33204.724","1.076244",""
"2017-01-17 05","32841.382","1.151186",""
"2017-01-17 06","33064.074","1.158992",""
"2017-01-17 07","34920.564","1.224067",""
"2017-01-17 08","42157.597","1.477746",""
"2017-01-17 09","53563.19","1.962406",""
"2017-01-17 10","61834.98","2.265462",""
"2017-01-17 11","67165.305","2.460751",""
"2017-01-17 12","70233.423","2.573158",""
"2017-01-17 13","72235.244","2.646498",""
"2017-01-17 14","73497.811","2.692756",""
"2017-01-17 15","74717.791","2.737452",""
"2017-01-17 16","75715.049","2.773989",""
"2017-01-17 17","75529.451","2.767189",""
"2017-01-17 18","73631.739","2.697662",""
"2017-01-17 19","67725.999","2.463408",""
"2017-01-17 20","60162.322","2.188294",""
