"item","Demanda","Valor","addValue"
"2017-01-16 09","38150.97","1.420411",""
"2017-01-16 10","45834.459","1.706478",""
"2017-01-16 11","52291.964","1.9469",""
"2017-01-16 12","56756.385","2.113116",""
"2017-01-16 13","59140.509","2.20188",""
"2017-01-16 14","61643.544","2.295071",""
"2017-01-16 15","62611.009","2.331091",""
"2017-01-16 16","62955.18","2.343905",""
"2017-01-16 17","62922.232","2.342678",""
"2017-01-16 18","61452.131","2.287945",""
"2017-01-16 19","59716.781","2.223335",""
"2017-01-16 20","58490.63","2.177684",""
"2017-01-16 21","58032.446","2.160625",""
"2017-01-16 22","59479.583","2.214504",""
"2017-01-16 23","56600.788","2.107322",""
"2017-01-16 24","50535.856","1.881517",""
"2017-01-17 01","44283.786","1.563969",""
"2017-01-17 02","38201.412","1.349157",""
"2017-01-17 03","34181.06","1.193633",""
"2017-01-17 04","32127.58","1.049815",""
"2017-01-17 05","30966.317","1.093636",""
"2017-01-17 06","30715.803","1.084788",""
"2017-01-17 07","32633.969","1.152533",""
"2017-01-17 08","34275.883","1.21052",""
"2017-01-17 09","40005.716","1.478903",""
"2017-01-17 10","47291.156","1.748226",""
"2017-01-17 11","53020.656","1.960029",""
"2017-01-17 12","56688.654","2.095625",""
"2017-01-17 13","59171.149","2.187397",""
"2017-01-17 14","61442.671","2.271368",""
"2017-01-17 15","62380.218","2.306027",""
"2017-01-17 16","62843.505","2.323154",""
"2017-01-17 17","62911.351","2.325662",""
"2017-01-17 18","62325.893","2.304018",""
"2017-01-17 19","60852.08","2.245519",""
"2017-01-17 20","60062.9","2.216397",""
"2017-01-17 21","59741.767","2.204547",""
"2017-01-17 22","60637.622","2.237606",""
"2017-01-17 23","57719.025","2.129905",""
"2017-01-17 24","52440","1.928179",""
"2017-01-18 01","46577.038","1.583465",""
"2017-01-18 02","39946.679","1.165554",""
"2017-01-18 03","35013.214","0.956889",""
"2017-01-18 04","32703.518","0.85059",""
"2017-01-18 05","31575.172","0.804568",""
"2017-01-18 06","31120.074","0.760102",""
"2017-01-18 07","33107.613","0.902625",""
"2017-01-18 08","35201.617","1.064284",""
"2017-01-18 09","40436.795","1.342685",""
"2017-01-18 10","48095.037","1.743019",""
"2017-01-18 11","53834.18","1.98655",""
"2017-01-18 12","58027.345","2.141283",""
"2017-01-18 13","60855.96","2.245662",""
"2017-01-18 14","62949.476","2.322916",""
"2017-01-18 15","64648.777","2.385622",""
"2017-01-18 16","65002.483","2.398674",""
"2017-01-18 17","64607.554","2.384101",""
"2017-01-18 18","63849.113","2.356113",""
"2017-01-18 19","61867.292","2.278897",""
"2017-01-18 20","60140.398","2.215287",""
"2017-01-18 21","59846.982","2.204479",""
"2017-01-18 22","60534.435","2.229801",""
"2017-01-18 23","56691.227","2.088235",""
"2017-01-18 24","51508.464","1.897327",""
"2017-01-19 01","45675.774","1.522674",""
"2017-01-19 02","39009.988","1.230929",""
"2017-01-19 03","34941.631","1.001065",""
"2017-01-19 04","32723.64","0.931039",""
"2017-01-19 05","31706.009","0.84139",""
"2017-01-19 06","31421.471","0.941698",""
"2017-01-19 07","33320.69","1.062406",""
"2017-01-19 08","34870.266","1.111813",""
"2017-01-19 09","40186.178","1.392726",""
"2017-01-19 10","48114.45","1.772308",""
"2017-01-19 11","53882.045","1.984758",""
"2017-01-19 12","57336.777","2.112014",""
"2017-01-19 13","60029.001","2.211184",""
"2017-01-19 14","62500.316","2.302214",""
"2017-01-19 15","63569.684","2.341606",""
"2017-01-19 16","63932.717","2.354978",""
"2017-01-19 17","63707.875","2.346695",""
"2017-01-19 18","63315.169","2.33223",""
"2017-01-19 19","61631.943","2.270228",""
"2017-01-19 20","60994.924","2.246763",""
"2017-01-19 21","60788.371","2.239155",""
"2017-01-19 22","62040.679","2.285284",""
"2017-01-19 23","58445.957","2.152872",""
"2017-01-19 24","53037.076","1.953634",""
"2017-01-20 01","47027.379","1.493564",""
"2017-01-20 02","40583.8","1.28892",""
"2017-01-20 03","36253.257","1.151384",""
"2017-01-20 04","33700.215","1.070301",""
"2017-01-20 05","32375.741","1.028236",""
"2017-01-20 06","32099.111","1.01945",""
"2017-01-20 07","34273.198","1.088498",""
"2017-01-20 08","36145.858","1.147973",""
"2017-01-20 09","41007.579","1.353717",""
"2017-01-20 10","48838.649","1.625104",""
"2017-01-20 11","54542.726","1.940692",""
"2017-01-20 12","58343.725","2.075936",""
"2017-01-20 13","61165.039","2.176322",""
"2017-01-20 14","63681.552","2.265862",""
"2017-01-20 15","64629.033","2.299574",""
"2017-01-20 16","65433.993","2.328216",""
"2017-01-20 17","65283.181","2.32285",""
"2017-01-20 18","64520.579","2.282962",""
"2017-01-20 19","62968.022","2.082811",""
"2017-01-20 20","61704.392","2.041014",""
"2017-01-20 21","60984.354","2.017196",""
"2017-01-20 22","61420.095","2.116597",""
"2017-01-20 23","56683.19","2.009383",""
"2017-01-20 24","52344.561","1.855581",""
"2017-01-21 01","47450.138","1.666524",""
"2017-01-21 02","42308.451","1.485939",""
"2017-01-21 03","38247.922","1.219599",""
"2017-01-21 04","35178.081","1.121712",""
"2017-01-21 05","33463.918","1.060426",""
"2017-01-21 06","32392.819","1.024345",""
"2017-01-21 07","32645.629","0.995702",""
"2017-01-21 08","32257.666","0.932758",""
"2017-01-21 09","36579.111","1.185706",""
"2017-01-21 10","44302.352","1.436053",""
"2017-01-21 11","50613.661","1.640634",""
"2017-01-21 12","54694.265","1.772906",""
"2017-01-21 13","57860.677","1.875545",""
"2017-01-21 14","60065.533","1.947015",""
"2017-01-21 15","61306.139","1.987229",""
"2017-01-21 16","60589.178","1.963989",""
"2017-01-21 17","59982.521","1.944324",""
"2017-01-21 18","58963.947","1.911307",""
"2017-01-21 19","57957.11","1.897802",""
"2017-01-21 20","56859.955","1.861875",""
"2017-01-21 21","56799.531","1.859897",""
"2017-01-21 22","57676.043","2.056134",""
"2017-01-21 23","53688.926","1.913996",""
"2017-01-21 24","49359.445","1.75965",""
"2017-01-22 01","45371.638","1.427286",""
"2017-01-22 02","40747.041","1.281807",""
"2017-01-22 03","36943.987","1.162172",""
"2017-01-22 04","33855.386","1.065011",""
"2017-01-22 05","31980.516","0.925888",""
"2017-01-22 06","31117.477","0.660798",""
"2017-01-22 07","30705.271","0.311847",""
"2017-01-22 08","29451.211","0.048557",""
